subject,idna_subject,expiration_date,epoch,registrar
1010data.com,1010data.com,02-feb-2026,1769990400.0,
1010data.com,1010data.com,02-feb-2026,1769990400.0,
103bees.com,103bees.com,03-may-2021,1620000000.0,
103bees.com,103bees.com,03-may-2021,1620000000.0,
105app.com,105app.com,15-mar-2021,1615766400.0,
105app.com,105app.com,15-mar-2021,1615766400.0,
10cms.com,10cms.com,11-apr-2022,1649635200.0,
10cms.com,10cms.com,11-apr-2022,1649635200.0,
123-tracker.com,123-tracker.com,14-may-2021,1620950400.0,
123-tracker.com,123-tracker.com,14-may-2021,1620950400.0,
123count.com,123count.com,09-dec-2021,1639008000.0,
123count.com,123count.com,09-dec-2021,1639008000.0,
1orange-u.com,1orange-u.com,07-jun-2021,1623024000.0,
1orange-u.com,1orange-u.com,07-jun-2021,1623024000.0,
2020mustang.com,2020mustang.com,27-jan-2021,1611705600.0,
2020mustang.com,2020mustang.com,27-jan-2021,1611705600.0,
206ads.com,206ads.com,07-may-2021,1620345600.0,
206ads.com,206ads.com,07-may-2021,1620345600.0,
207.net,207.net,10-jul-2021,1625875200.0,
207.net,207.net,10-jul-2021,1625875200.0,
247-inc.com,247-inc.com,13-dec-2024,1734048000.0,
247-inc.com,247-inc.com,13-dec-2024,1734048000.0,
247-inc.net,247-inc.net,07-feb-2025,1738886400.0,
247-inc.net,247-inc.net,07-feb-2025,1738886400.0,
247.ai,247.ai,08-apr-2022,1649376000.0,
247.ai,247.ai,08-apr-2022,1649376000.0,
247inc.net,247inc.net,01-feb-2021,1612137600.0,
247inc.net,247inc.net,01-feb-2021,1612137600.0,
247realmedia.com,247realmedia.com,30-oct-2021,1635552000.0,
247realmedia.com,247realmedia.com,30-oct-2021,1635552000.0,
247realmedia.org,247realmedia.org,26-jan-2021,1611619200.0,
247realmedia.org,247realmedia.org,26-jan-2021,1611619200.0,
254a.com,254a.com,10-mar-2024,1710028800.0,
254a.com,254a.com,10-mar-2024,1710028800.0,
258ydh.com,258ydh.com,17-feb-2021,1613520000.0,
258ydh.com,258ydh.com,17-feb-2021,1613520000.0,
2znp09oa.com,2znp09oa.com,24-feb-2021,1614124800.0,
2znp09oa.com,2znp09oa.com,24-feb-2021,1614124800.0,
304br.net,304br.net,06-jan-2022,1641427200.0,
304br.net,304br.net,06-jan-2022,1641427200.0,
305br.net,305br.net,06-jan-2022,1641427200.0,
305br.net,305br.net,06-jan-2022,1641427200.0,
360yield.com,360yield.com,02-jun-2021,1622592000.0,
360yield.com,360yield.com,02-jun-2021,1622592000.0,
4dsply.com,4dsply.com,10-apr-2021,1618012800.0,
4dsply.com,4dsply.com,10-apr-2021,1618012800.0,
4nabs.com,4nabs.com,29-mar-2021,1616976000.0,
4nabs.com,4nabs.com,29-mar-2021,1616976000.0,
4seeresults.com,4seeresults.com,13-jul-2023,1689206400.0,
4seeresults.com,4seeresults.com,13-jul-2023,1689206400.0,
51.la,51.la,17-jan-2023,1673913600.0,
51.la,51.la,17-jan-2023,1673913600.0,
51yes.com,51yes.com,24-nov-2026,1795478400.0,
51yes.com,51yes.com,24-nov-2026,1795478400.0,
5293.com,5293.com,02-mar-2022,1646179200.0,
5293.com,5293.com,02-mar-2022,1646179200.0,
5gl1x9qc.com,5gl1x9qc.com,19-feb-2021,1613692800.0,
5gl1x9qc.com,5gl1x9qc.com,19-feb-2021,1613692800.0,
5min.com,5min.com,16-jul-2021,1626393600.0,
5min.com,5min.com,16-jul-2021,1626393600.0,
6001888.com,6001888.com,11-dec-2021,1639180800.0,
