idna_subject,checker_type,destination,source,tested_at,session_id
mkt7689.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:28.136805,bac46972a9ef69720cca3871
mkt769.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:28.276913,bac46972a9ef69720cca3871
mkt7690.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:28.415626,bac46972a9ef69720cca3871
mkt7691.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:28.559822,bac46972a9ef69720cca3871
mkt7692.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:28.698665,bac46972a9ef69720cca3871
mkt7693.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:28.837130,bac46972a9ef69720cca3871
mkt7694.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:28.975681,bac46972a9ef69720cca3871
mkt7695.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:29.113712,bac46972a9ef69720cca3871
mkt7696.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:29.254367,bac46972a9ef69720cca3871
mkt7697.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:29.395183,bac46972a9ef69720cca3871
mkt7698.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:29.538306,bac46972a9ef69720cca3871
mkt7699.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:29.680632,bac46972a9ef69720cca3871
mkt770.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:29.822091,bac46972a9ef69720cca3871
mkt7700.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:29.964357,bac46972a9ef69720cca3871
mkt7701.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:30.103756,bac46972a9ef69720cca3871
mkt7702.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:30.243249,bac46972a9ef69720cca3871
mkt7703.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:30.385813,bac46972a9ef69720cca3871
mkt7704.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:30.527162,bac46972a9ef69720cca3871
mkt7705.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:30.671782,bac46972a9ef69720cca3871
mkt7706.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:30.818405,bac46972a9ef69720cca3871
mkt7707.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:30.962762,bac46972a9ef69720cca3871
mkt7708.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:31.105494,bac46972a9ef69720cca3871
mkt7709.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:31.244414,bac46972a9ef69720cca3871
mkt771.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:31.384900,bac46972a9ef69720cca3871
mkt7710.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:31.527869,bac46972a9ef69720cca3871
mkt7711.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:31.668791,bac46972a9ef69720cca3871
mkt7712.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:31.807624,bac46972a9ef69720cca3871
mkt7713.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:31.951732,bac46972a9ef69720cca3871
mkt7714.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:32.096654,bac46972a9ef69720cca3871
mkt7715.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:32.241420,bac46972a9ef69720cca3871
mkt7716.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:32.384136,bac46972a9ef69720cca3871
mkt7717.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:32.523247,bac46972a9ef69720cca3871
mkt7718.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:32.662496,bac46972a9ef69720cca3871
mkt7719.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:32.804643,bac46972a9ef69720cca3871
mkt772.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:32.945640,bac46972a9ef69720cca3871
mkt7720.com,AVAILABILITY,domains.list,domains.list,2001-07-02 03:16:33.087751,bac46972a9ef69720cca3871
